0:0:0:0:0:0:0:1 - - [29/May/2023:00:48:43 +0300] "POST /ecommerce/UpdateProductServlet HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:48:43 +0300] "POST /ecommerce/UpdateProductServlet HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:48:44 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 14910
0:0:0:0:0:0:0:1 - - [29/May/2023:00:48:44 +0300] "GET /ecommerce/img/product/4184017f-79a1-4231-8450-606c1fe18a58 HTTP/1.1" 200 1405484
0:0:0:0:0:0:0:1 - - [29/May/2023:00:53:29 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 14910
0:0:0:0:0:0:0:1 - - [29/May/2023:00:53:29 +0300] "GET /ecommerce/img/product/4184017f-79a1-4231-8450-606c1fe18a58 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:53:33 +0300] "GET /ecommerce/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [29/May/2023:00:53:37 +0300] "POST /ecommerce/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:53:37 +0300] "GET /ecommerce/index.jsp HTTP/1.1" 200 7311
0:0:0:0:0:0:0:1 - - [29/May/2023:00:53:39 +0300] "GET /ecommerce/AdminMainPanel.jsp HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [29/May/2023:00:53:41 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 15104
0:0:0:0:0:0:0:1 - - [29/May/2023:00:54:04 +0300] "POST /ecommerce/AddProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:54:05 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 15852
0:0:0:0:0:0:0:1 - - [29/May/2023:00:54:05 +0300] "GET /ecommerce/img/product/b968dba2-d497-4dd2-9bf7-97b94f43edb0 HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [29/May/2023:00:54:05 +0300] "GET /ecommerce/img/product/4184017f-79a1-4231-8450-606c1fe18a58 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:54:47 +0300] "POST /ecommerce/UpdateProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:54:48 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 15866
0:0:0:0:0:0:0:1 - - [29/May/2023:00:54:48 +0300] "GET /ecommerce/img/product/4184017f-79a1-4231-8450-606c1fe18a58 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:54:48 +0300] "GET /ecommerce/img/product/a533a883-6ab2-46dd-8cea-cb01ed2fd66b HTTP/1.1" 200 7941
0:0:0:0:0:0:0:1 - - [29/May/2023:00:57:31 +0300] "POST /ecommerce/AddProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:57:32 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 16362
0:0:0:0:0:0:0:1 - - [29/May/2023:00:57:32 +0300] "GET /ecommerce/img/product/4184017f-79a1-4231-8450-606c1fe18a58 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:57:32 +0300] "GET /ecommerce/img/product/a533a883-6ab2-46dd-8cea-cb01ed2fd66b HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:57:32 +0300] "GET /ecommerce/img/product/977cd304-9932-40c5-8705-282280572801 HTTP/1.1" 200 68237
